Month,Apple: (Worldwide),Google: (Worldwide),Amazon: (Worldwide),Microsoft: (Worldwide),Netflix: (Worldwide)
2004-08-01,2,8,4,9,0.5
2004-09-01,2,9,4,9,0.5
2004-10-01,2,9,4,9,0.5
2004-11-01,2,10,5,9,0.5
2004-12-01,3,10,6,8,0.5
2005-01-01,3,9,4,9,0.5
2005-02-01,3,10,4,9,0.5
2005-03-01,3,10,4,9,0.5
2005-04-01,3,12,4,9,0.5
2005-05-01,3,12,4,8,0.5
2005-06-01,3,13,4,8,0.5
2005-07-01,3,20,5,8,0.5
2005-08-01,3,23,5,9,0.5
2005-09-01,3,25,4,8,0.5
2005-10-01,3,22,5,9,0.5
2005-11-01,3,22,5,8,0.5
2005-12-01,3,22,6,8,0.5
2006-01-01,3,24,5,8,0.5
2006-02-01,3,24,5,8,0.5
2006-03-01,3,25,4,8,0.5
2006-04-01,3,25,4,7,0.5
2006-05-01,3,24,4,7,0.5
2006-06-01,3,25,4,7,0.5
2006-07-01,3,26,5,7,0.5
2006-08-01,3,27,5,7,0.5
2006-09-01,3,27,5,7,0.5
2006-10-01,3,29,5,7,0.5
2006-11-01,3,28,6,8,0.5
2006-12-01,3,29,7,7,1.0
2007-01-01,4,30,5,8,1.0
2007-02-01,3,30,5,8,1.0
2007-03-01,3,30,5,7,0.5
2007-04-01,3,31,4,6,0.5
2007-05-01,3,32,5,7,0.5
2007-06-01,3,32,5,6,0.5
2007-07-01,3,31,5,6,1.0
2007-08-01,3,35,5,6,1.0
2007-09-01,4,33,5,6,0.5
2007-10-01,4,33,5,7,0.5
2007-11-01,4,31,7,6,0.5
2007-12-01,4,32,8,6,1.0
2008-01-01,4,31,6,6,1.0
2008-02-01,4,33,5,7,1.0
2008-03-01,4,33,5,6,1.0
2008-04-01,3,32,5,6,1.0
2008-05-01,3,31,5,6,0.5
2008-06-01,4,32,5,6,1.0
2008-07-01,4,32,5,6,1.0
2008-08-01,4,34,5,6,1.0
2008-09-01,4,39,5,6,1.0
2008-10-01,4,35,6,6,1.0
2008-11-01,4,35,7,6,1.0
2008-12-01,4,35,9,6,1.0
2009-01-01,4,38,7,6,1.0
2009-02-01,3,42,6,6,1.0
2009-03-01,3,39,6,6,1.0
2009-04-01,3,40,6,6,1.0
2009-05-01,3,41,6,6,1.0
2009-06-01,4,40,6,6,1.0
2009-07-01,3,39,6,5,1.0
2009-08-01,3,40,6,5,1.0
2009-09-01,4,41,6,6,1.0
2009-10-01,4,43,6,6,1.0
2009-11-01,4,43,8,6,1.0
2009-12-01,4,44,9,5,1.0
2010-01-01,4,45,7,6,1.0
2010-02-01,3,47,6,6,1.0
2010-03-01,3,47,6,6,1.0
2010-04-01,4,48,6,5,1.0
2010-05-01,4,47,6,5,1.0
2010-06-01,5,48,6,5,1.0
2010-07-01,4,45,6,5,2.0
2010-08-01,4,46,6,5,2.0
2010-09-01,5,49,7,5,2.0
2010-10-01,4,46,7,5,2.0
2010-11-01,5,51,10,5,2.0
2010-12-01,5,52,11,5,2.0
2011-01-01,4,51,9,5,2.0
2011-02-01,4,53,8,5,2.0
