Company,Metric,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Significant_Pearson,Significant_Spearman
Apple,Price,0.59749,0.0,0.696797,0.0,True,True
Apple,RelativePrice,0.625991,0.0,0.728074,0.0,True,True
Apple,Volume,-0.45921,0.0,-0.576844,0.0,True,True
Apple,Volatility,-0.185906,0.00546,-0.265435,6.2e-05,True,True
Amazon,Price,0.92503,0.0,0.931187,0.0,True,True
Amazon,RelativePrice,0.913009,0.0,0.924406,0.0,True,True
Amazon,Volume,-0.633163,0.0,-0.630682,0.0,True,True
Amazon,Volatility,-0.311866,2e-06,-0.275895,3.1e-05,True,True
Google,Price,0.399872,0.0,0.464501,0.0,True,True
Google,RelativePrice,0.480854,0.0,0.45849,0.0,True,True
Google,Volume,-0.682538,0.0,-0.523131,0.0,True,True
Google,Volatility,-0.341851,0.0,-0.344568,0.0,True,True
Microsoft,Price,-0.630992,0.0,-0.773194,0.0,True,True
Microsoft,RelativePrice,-0.50518,0.0,-0.589495,0.0,True,True
Microsoft,Volume,0.762908,0.0,0.837691,0.0,True,True
Microsoft,Volatility,-0.02565,0.703887,-0.037331,0.580079,False,False
Netflix,Price,0.94416,0.0,0.965663,0.0,True,True
Netflix,RelativePrice,0.916251,0.0,0.955776,0.0,True,True
Netflix,Volume,-0.271958,4e-05,-0.332605,0.0,True,True
Netflix,Volatility,-0.19789,0.003065,-0.265814,6.1e-05,True,True
