Company,Metric,Lag,Test,F_statistic,p_value,Significant
Apple,Price,1,ssr_ftest,1.119142,0.291274,False
Apple,Price,1,ssr_chi2test,1.134543,0.286808,False
Apple,Price,1,lrtest,1.13164,0.287426,False
Apple,Price,1,params_ftest,1.119142,0.291274,False
Apple,Price,2,ssr_ftest,0.7643,0.466921,False
Apple,Price,2,ssr_chi2test,1.564149,0.457456,False
Apple,Price,2,lrtest,1.558615,0.458724,False
Apple,Price,2,params_ftest,0.7643,0.466921,False
Apple,Price,3,ssr_ftest,0.949788,0.417439,False
Apple,Price,3,ssr_chi2test,2.943447,0.400427,False
Apple,Price,3,lrtest,2.923842,0.403517,False
Apple,Price,3,params_ftest,0.949788,0.417439,False
Apple,Price,4,ssr_ftest,0.691496,0.598593,False
Apple,Price,4,ssr_chi2test,2.885092,0.577235,False
Apple,Price,4,lrtest,2.866168,0.580466,False
Apple,Price,4,params_ftest,0.691496,0.598593,False
Apple,Price,5,ssr_ftest,0.587714,0.709395,False
Apple,Price,5,ssr_chi2test,3.095484,0.685268,False
Apple,Price,5,lrtest,3.073614,0.688638,False
Apple,Price,5,params_ftest,0.587714,0.709395,False
Apple,Price,6,ssr_ftest,1.016487,0.41562,False
Apple,Price,6,ssr_chi2test,6.489492,0.370644,False
Apple,Price,6,lrtest,6.393917,0.380539,False
Apple,Price,6,params_ftest,1.016487,0.41562,False
Apple,Price,7,ssr_ftest,1.224974,0.29055,False
Apple,Price,7,ssr_chi2test,9.217927,0.237386,False
Apple,Price,7,lrtest,9.025794,0.250809,False
Apple,Price,7,params_ftest,1.224974,0.29055,False
Apple,Price,8,ssr_ftest,1.813736,0.076418,False
Apple,Price,8,ssr_chi2test,15.762014,0.045916,True
Apple,Price,8,lrtest,15.20856,0.055215,False
Apple,Price,8,params_ftest,1.813736,0.076418,False
Apple,Price,9,ssr_ftest,2.259823,0.019953,True
Apple,Price,9,ssr_chi2test,22.330314,0.007889,True
Apple,Price,9,lrtest,21.235664,0.011644,True
Apple,Price,9,params_ftest,2.259823,0.019953,True
Apple,Price,10,ssr_ftest,2.330193,0.013013,True
Apple,Price,10,ssr_chi2test,25.863924,0.003928,True
Apple,Price,10,lrtest,24.403847,0.006598,True
Apple,Price,10,params_ftest,2.330193,0.013013,True
Apple,Price,11,ssr_ftest,3.180131,0.00056,True
Apple,Price,11,ssr_chi2test,39.261091,4.8e-05,True
Apple,Price,11,lrtest,36.006433,0.000169,True
Apple,Price,11,params_ftest,3.180131,0.00056,True
Apple,Price,12,ssr_ftest,3.116767,0.000474,True
Apple,Price,12,ssr_chi2test,42.455415,2.8e-05,True
Apple,Price,12,lrtest,38.666697,0.000119,True
Apple,Price,12,params_ftest,3.116767,0.000474,True
Apple,Volume,1,ssr_ftest,5.706205,0.017757,True
Apple,Volume,1,ssr_chi2test,5.78473,0.016166,True
Apple,Volume,1,lrtest,5.710318,0.016865,True
Apple,Volume,1,params_ftest,5.706205,0.017757,True
Apple,Volume,2,ssr_ftest,3.559349,0.030146,True
Apple,Volume,2,ssr_chi2test,7.284249,0.026197,True
Apple,Volume,2,lrtest,7.166255,0.027789,True
Apple,Volume,2,params_ftest,3.559349,0.030146,True
Apple,Volume,3,ssr_ftest,1.696135,0.168883,False
Apple,Volume,3,ssr_chi2test,5.25642,0.153955,False
Apple,Volume,3,lrtest,5.194329,0.158108,False
Apple,Volume,3,params_ftest,1.696135,0.168883,False
Apple,Volume,4,ssr_ftest,1.082086,0.366356,False
Apple,Volume,4,ssr_chi2test,4.51473,0.340804,False
Apple,Volume,4,lrtest,4.468616,0.346285,False
Apple,Volume,4,params_ftest,1.082086,0.366356,False
Apple,Volume,5,ssr_ftest,1.337294,0.249817,False
Apple,Volume,5,ssr_chi2test,7.043517,0.217424,False
Apple,Volume,5,lrtest,6.93162,0.225776,False
Apple,Volume,5,params_ftest,1.337294,0.249817,False
Apple,Volume,6,ssr_ftest,1.162932,0.327601,False
Apple,Volume,6,ssr_chi2test,7.424434,0.283371,False
Apple,Volume,6,lrtest,7.299687,0.294019,False
Apple,Volume,6,params_ftest,1.162932,0.327601,False
Apple,Volume,7,ssr_ftest,0.985231,0.443115,False
Apple,Volume,7,ssr_chi2test,7.413862,0.387096,False
Apple,Volume,7,lrtest,7.2889,0.399432,False
Apple,Volume,7,params_ftest,0.985231,0.443115,False
Apple,Volume,8,ssr_ftest,0.821199,0.584743,False
Apple,Volume,8,ssr_chi2test,7.136512,0.521978,False
Apple,Volume,8,lrtest,7.020098,0.534466,False
Apple,Volume,8,params_ftest,0.821199,0.584743,False
Apple,Volume,9,ssr_ftest,0.747389,0.665112,False
Apple,Volume,9,ssr_chi2test,7.385278,0.597073,False
Apple,Volume,9,lrtest,7.260129,0.610056,False
