Company,Metric,Lag_Months,Pearson_r,Pearson_p,Significant
Apple,Price,1,0.375283,0.0,True
Apple,Price,2,0.38114,0.0,True
Apple,Price,3,0.381707,0.0,True
Apple,Price,4,0.383774,0.0,True
Apple,Price,5,0.387789,0.0,True
Apple,Price,6,0.382381,0.0,True
Apple,Price,7,0.373116,0.0,True
Apple,Price,8,0.385691,0.0,True
Apple,Price,9,0.399189,0.0,True
Apple,Price,10,0.411661,0.0,True
Apple,Price,11,0.431915,0.0,True
Apple,Price,12,0.436811,0.0,True
Apple,Volume,1,-0.475432,0.0,True
Apple,Volume,2,-0.500517,0.0,True
Apple,Volume,3,-0.492399,0.0,True
Apple,Volume,4,-0.461227,0.0,True
Apple,Volume,5,-0.493336,0.0,True
Apple,Volume,6,-0.487316,0.0,True
Apple,Volume,7,-0.48624,0.0,True
Apple,Volume,8,-0.499236,0.0,True
Apple,Volume,9,-0.494604,0.0,True
Apple,Volume,10,-0.506084,0.0,True
Apple,Volume,11,-0.510149,0.0,True
Apple,Volume,12,-0.489486,0.0,True
Apple,Volatility,1,-0.173116,0.009924,True
Apple,Volatility,2,-0.156538,0.020182,True
Apple,Volatility,3,-0.146729,0.029952,True
Apple,Volatility,4,-0.070992,0.29673,False
Apple,Volatility,5,-0.110552,0.104353,False
Apple,Volatility,6,-0.067313,0.324788,False
Apple,Volatility,7,-0.102643,0.133553,False
Apple,Volatility,8,-0.166963,0.014471,True
Apple,Volatility,9,-0.202391,0.003005,True
Apple,Volatility,10,-0.147383,0.031956,True
Apple,Volatility,11,-0.11673,0.090777,False
Apple,Volatility,12,-0.100484,0.146742,False
Amazon,Price,1,0.789283,0.0,True
Amazon,Price,2,0.796231,0.0,True
Amazon,Price,3,0.803044,0.0,True
Amazon,Price,4,0.809633,0.0,True
Amazon,Price,5,0.814762,0.0,True
Amazon,Price,6,0.820663,0.0,True
Amazon,Price,7,0.829902,0.0,True
Amazon,Price,8,0.836513,0.0,True
Amazon,Price,9,0.839433,0.0,True
Amazon,Price,10,0.838397,0.0,True
Amazon,Price,11,0.836111,0.0,True
Amazon,Price,12,0.83545,0.0,True
Amazon,Volume,1,-0.621157,0.0,True
Amazon,Volume,2,-0.608659,0.0,True
Amazon,Volume,3,-0.607128,0.0,True
Amazon,Volume,4,-0.598874,0.0,True
Amazon,Volume,5,-0.610924,0.0,True
Amazon,Volume,6,-0.626632,0.0,True
Amazon,Volume,7,-0.616976,0.0,True
Amazon,Volume,8,-0.630531,0.0,True
Amazon,Volume,9,-0.636411,0.0,True
Amazon,Volume,10,-0.596442,0.0,True
Amazon,Volume,11,-0.591575,0.0,True
Amazon,Volume,12,-0.609684,0.0,True
