Category: All categories

Month,Apple: (Worldwide),Google: (Worldwide),Amazon: (Worldwide),Microsoft: (Worldwide),Netflix: (Worldwide)
2004-08,2,8,4,9,<1
2004-09,2,9,4,9,<1
2004-10,2,9,4,9,<1
2004-11,2,10,5,9,<1
2004-12,3,10,6,8,<1
2005-01,3,9,4,9,<1
2005-02,3,10,4,9,<1
2005-03,3,10,4,9,<1
2005-04,3,12,4,9,<1
2005-05,3,12,4,8,<1
2005-06,3,13,4,8,<1
2005-07,3,20,5,8,<1
2005-08,3,23,5,9,<1
2005-09,3,25,4,8,<1
2005-10,3,22,5,9,<1
2005-11,3,22,5,8,<1
2005-12,3,22,6,8,<1
2006-01,3,24,5,8,<1
2006-02,3,24,5,8,<1
2006-03,3,25,4,8,<1
2006-04,3,25,4,7,<1
2006-05,3,24,4,7,<1
2006-06,3,25,4,7,<1
2006-07,3,26,5,7,<1
2006-08,3,27,5,7,<1
2006-09,3,27,5,7,<1
2006-10,3,29,5,7,<1
2006-11,3,28,6,8,<1
2006-12,3,29,7,7,1
2007-01,4,30,5,8,1
2007-02,3,30,5,8,1
2007-03,3,30,5,7,<1
2007-04,3,31,4,6,<1
2007-05,3,32,5,7,<1
2007-06,3,32,5,6,<1
2007-07,3,31,5,6,1
2007-08,3,35,5,6,1
2007-09,4,33,5,6,<1
2007-10,4,33,5,7,<1
2007-11,4,31,7,6,<1
2007-12,4,32,8,6,1
2008-01,4,31,6,6,1
2008-02,4,33,5,7,1
2008-03,4,33,5,6,1
2008-04,3,32,5,6,1
2008-05,3,31,5,6,<1
2008-06,4,32,5,6,1
2008-07,4,32,5,6,1
2008-08,4,34,5,6,1
2008-09,4,39,5,6,1
2008-10,4,35,6,6,1
2008-11,4,35,7,6,1
2008-12,4,35,9,6,1
2009-01,4,38,7,6,1
2009-02,3,42,6,6,1
2009-03,3,39,6,6,1
2009-04,3,40,6,6,1
2009-05,3,41,6,6,1
2009-06,4,40,6,6,1
2009-07,3,39,6,5,1
2009-08,3,40,6,5,1
2009-09,4,41,6,6,1
2009-10,4,43,6,6,1
2009-11,4,43,8,6,1
2009-12,4,44,9,5,1
2010-01,4,45,7,6,1
2010-02,3,47,6,6,1
2010-03,3,47,6,6,1
2010-04,4,48,6,5,1
2010-05,4,47,6,5,1
2010-06,5,48,6,5,1
2010-07,4,45,6,5,2
2010-08,4,46,6,5,2
2010-09,5,49,7,5,2
2010-10,4,46,7,5,2
2010-11,5,51,10,5,2
2010-12,5,52,11,5,2
2011-01,4,51,9,5,2
2011-02,4,53,8,5,2
2011-03,5,54,8,5,2
2011-04,4,57,8,5,2
2011-05,4,58,8,5,2
2011-06,5,59,9,4,3
2011-07,5,64,8,4,3
2011-08,5,58,8,4,3
2011-09,5,61,9,4,3
2011-10,9,61,9,4,2
2011-11,6,61,12,4,2
2011-12,6,60,14,4,3
2012-01,5,61,11,4,3
2012-02,4,59,10,4,3
2012-03,6,62,11,4,3
2012-04,5,61,10,4,2
2012-05,4,62,10,4,2
2012-06,5,60,10,4,3
2012-07,5,61,10,3,3
2012-08,5,63,11,4,3
2012-09,8,67,11,4,3
2012-10,6,72,12,4,3
2012-11,6,79,15,4,3
2012-12,6,80,17,4,3
2013-01,5,81,13,4,3
2013-02,5,83,12,4,3
2013-03,4,85,12,4,3
2013-04,4,84,11,4,3
2013-05,4,87,11,3,3
2013-06,4,88,11,3,3
2013-07,4,90,12,3,3
2013-08,4,87,13,3,3
2013-09,7,95,12,4,3
2013-10,5,96,12,4,3
2013-11,5,99,15,4,4
2013-12,5,93,17,3,4
2014-01,4,95,13,3,4
2014-02,4,91,12,3,4
2014-03,4,88,12,3,3
2014-04,3,94,12,3,3
2014-05,4,89,12,3,3
2014-06,4,91,12,3,3
2014-07,4,92,12,3,4
2014-08,4,94,14,3,4
2014-09,7,96,13,3,4
2014-10,5,100,14,4,4
2014-11,5,92,16,3,4
2014-12,5,89,18,3,4
2015-01,4,94,15,3,4
2015-02,4,91,14,3,4
2015-03,4,91,13,3,4
2015-04,4,91,13,3,4
2015-05,4,92,12,3,4
2015-06,4,79,13,3,5
2015-07,4,81,14,3,5
2015-08,4,85,14,3,5
2015-09,6,89,14,3,5
2015-10,4,85,15,3,5
2015-11,4,86,18,3,5
2015-12,4,82,20,3,5
2016-01,4,74,13,3,5
2016-02,3,77,12,3,4
2016-03,4,77,11,3,4
2016-04,4,77,11,2,4
2016-05,4,74,12,2,4
2016-06,4,69,12,2,4
2016-07,4,66,13,2,4
2016-08,4,69,13,2,4
2016-09,6,74,13,2,4
2016-10,5,69,14,3,4
2016-11,6,62,17,3,4
2016-12,6,58,18,3,5
2017-01,5,61,15,3,5
2017-02,5,64,14,3,4
2017-03,5,60,13,3,5
2017-04,5,59,13,3,5
2017-05,5,60,14,3,5
2017-06,5,57,14,2,5
2017-07,5,54,15,2,5
2017-08,5,55,15,2,6
2017-09,7,59,15,3,5
2017-10,5,61,17,3,6
2017-11,6,56,19,2,6
2017-12,6,62,21,2,6
2018-01,5,63,17,3,6
2018-02,5,64,15,2,6
2018-03,5,63,15,3,6
2018-04,5,62,15,2,6
2018-05,5,60,14,2,6
2018-06,5,57,14,2,6
2018-07,5,52,16,2,6
2018-08,5,52,14,2,6
2018-09,7,58,15,2,6
2018-10,4,56,15,2,6
2018-11,6,58,20,2,6
2018-12,6,55,19,2,7
2019-01,5,55,16,2,8
2019-02,5,57,15,2,7
2019-03,5,55,15,2,6
2019-04,5,54,15,2,6
2019-05,5,54,15,2,6
2019-06,5,53,15,2,6
2019-07,5,51,17,2,7
2019-08,6,53,17,2,7
2019-09,13,57,17,2,6
2019-10,6,57,17,2,6
2019-11,7,58,22,2,7
2019-12,7,54,23,2,7
2020-01,5,53,18,2,8
2020-02,5,57,17,3,7
2020-03,5,59,20,4,10
2020-04,5,66,23,4,12
2020-05,5,66,22,4,10
2020-06,5,54,20,3,9
2020-07,6,50,21,3,9
2020-08,6,55,19,3,8
2020-09,7,65,20,4,8
2020-10,6,54,20,4,7
2020-11,6,50,22,3,8
2020-12,6,49,24,3,9
2021-01,5,50,20,3,9
2021-02,4,51,18,3,9
2021-03,4,50,18,3,7
2021-04,4,49,18,3,8
2021-05,4,49,17,3,8
2021-06,4,46,17,3,7
2021-07,4,47,17,3,7
2021-08,4,46,17,3,7
2021-09,5,50,16,3,7
2021-10,5,48,17,3,7
2021-11,5,48,19,3,7
2021-12,5,46,20,3,7
2022-01,5,50,18,3,9
2022-02,5,52,16,3,7
2022-03,5,51,16,3,7
2022-04,5,52,17,3,7
2022-05,5,54,16,3,7
2022-06,5,52,16,3,7
2022-07,5,50,18,3,7
2022-08,5,52,17,3,7
2022-09,7,57,17,3,7
2022-10,5,54,19,3,7
2022-11,5,49,19,3,6
2022-12,5,47,20,3,8
2023-01,5,48,17,3,8
2023-02,5,45,16,3,7
2023-03,4,53,15,3,6
